gene_transcript,gene,Non-targetting,replication,umap1,umap2,HBZ,SLC25A37,SPI1,CSF3R
10792_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.260819,-2.9715028,0.5934109,0.01697631,-0.06836903,0.04108969
10793_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.4817533,0.013744762,-0.111587584,-0.014558587,-0.045355756,-0.019920325
10794_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,6.387763,-2.3318875,0.21215627,-0.0011988537,-0.03729847,0.016477756
10795_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,6.99106,-2.9839232,0.081990376,0.15638608,0.017741146,-0.030915363
10796_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,9.3536,-0.040887352,-0.4039688,-0.059039913,-0.0335339,0.00066412956
10797_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,6.2671323,-1.2404499,-0.13840131,-0.07197409,-0.03351957,0.092381544
10798_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.181007,0.07197536,-0.08717835,-0.096398555,0.02944143,0.012948543
10799_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,8.773358,-3.08003,0.22234733,-0.021023227,0.103668965,-0.013422664
1079_C2orf68_P1P2_ENSG00000168887,C2orf68,targeting,non-replication,4.2578716,-0.0671742,0.24848321,-0.06423848,0.00803466,-0.058555804
10800_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,8.855429,0.7975481,-0.5884806,-0.0020762968,-0.0362997,-0.006109462
10801_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,6.7349763,-4.3699574,0.28600252,0.03433696,-0.13079232,-0.08042154
10802_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,6.4458256,-0.53826153,-0.092888944,-0.003069778,0.012779797,-0.037561756
10803_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,9.416328,-1.8496238,-0.3818586,-0.3295175,0.21749319,0.08223789
10804_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,9.730349,-1.1966962,-0.32974738,0.024274059,-0.009444651,-0.01925223
10805_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.7015224,0.110697895,0.09776375,0.039648455,-0.0076918663,-0.038385406
10806_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,8.076276,-0.31598768,-0.12739329,0.0061377836,-0.0062894057,-0.0042541744
10807_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,5.816809,-2.0753376,0.2564361,-0.011381512,-0.0417859,-0.046411563
10808_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.40907,-0.1916718,-0.09245938,-0.055247013,-0.012451533,-0.011700035
10809_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,8.316165,-1.998453,0.09009913,-0.062308,0.067877084,-0.0440462
10810_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,9.6188965,-2.414229,-0.0068613323,-0.030622497,0.040216886,-0.04433223
10811_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,7.353971,-1.3447673,-0.06643028,-0.010876112,-0.055097744,-0.05853133
10812_non-targeting_non-targeting_non-targeting,non-targeting,non-targeting,non-replication,6.957188,-3.167798,0.069058396,-0.03646692,-0.012874668,0.032335542
