gene,cd14,cd11b_rep1,cd11b_rep2,cd11b
RFC5,0.288571198,1.285056368,0.151671983,0.718364175
ZNF644,0.080529435,0.923569717,0.508684949,0.716127333
SMARCC2,0.261360764,0.612340262,0.817808246,0.715074254
SMEK1,0.178512852,0.837900401,0.592014273,0.714957337
ECSIT,-0.216743835,0.71120666,0.714480011,0.712843336
LSM6,0.346775285,0.819961646,0.601473164,0.710717405
NDUFAF5,-0.078597515,0.870857311,0.550255405,0.710556358
BCLAF1,-0.211667477,0.882174407,0.531999809,0.707087108
PES1,-0.224054852,0.956311336,0.452828644,0.70456999
GLE1,0.194688898,0.735460032,0.67209157,0.703775801
ERCC3,0.019139585,0.578834398,0.825667299,0.702250848
FAM96B,0.701823321,1.02639079,0.374974584,0.700682687
MRPL46,-0.064477884,0.689789358,0.705130086,0.697459722
RBM27,0.173472977,0.966677367,0.423266017,0.694971692
EIF6,0.36783194,0.629579285,0.756431431,0.693005358
MRPL22,0.198598437,0.63180479,0.751075368,0.691440079
RAET1G,0.208520532,0.62426057,0.758307498,0.691284034
ASNA1,0.15277071,0.712139181,0.667392221,0.689765701
NDUFC2,0.035419474,0.975388641,0.399008804,0.687198723
RPA1,0.243768758,0.27988808,1.092875297,0.686381689
PSMG1,0.242514171,0.686788853,0.682279655,0.684534254
MDM2,0.486571233,0.672458553,0.695867004,0.684162779
EXOSC4,0.330014529,0.740844477,0.618701357,0.679772917
SNRPD3,-0.365893621,1.031530762,0.322848267,0.677189515
C8orf59,0.202166554,0.484729282,0.864003308,0.674366295
MRPS21,0.120999087,0.645978366,0.691024378,0.668501372
CCND3,0.0200414,0.839071716,0.491918614,0.665495165
CINP,0.135443929,0.885613405,0.442128233,0.663870819
CCR5,-0.174936592,1.123249035,0.199691934,0.661470484
CDC7,0.412337963,0.699354962,0.623148641,0.661251801
ZNF574,0.314015199,0.714716462,0.606594805,0.660655634
TFDP1,0.074408598,0.704074213,0.615777142,0.659925678
TXNDC17,0.34444372,0.635630032,0.68247085,0.659050441
USPL1,0.514327717,0.535261419,0.781768022,0.658514721
SETD1A,0.310453735,0.690768636,0.623015388,0.656892012
RPF2,0.344131369,0.706565574,0.599655464,0.653110519
KEAP1,0.576846328,0.9657294,0.336793178,0.651261289
MED18,0.052306917,0.508640408,0.789074509,0.648857458
MCPH1,0.191539141,0.657596831,0.639069001,0.648332916
WDR55,0.268751942,0.461495,0.834811243,0.648153122
RBBP8,0.326016136,0.597273959,0.6988781,0.648076029
MRPS18B,-0.354083181,0.924540248,0.371585423,0.648062836
RARS2,0.267471298,0.791885716,0.500536587,0.646211152
NHP2,-0.062969331,0.494428144,0.794697106,0.644562625
DNAJC2,-0.096303538,0.63697701,0.647803899,0.642390454
PRIM2,0.907725953,0,1.283054994,0.641527497
KRR1,-0.008868677,0.625672032,0.656967761,0.641319896
ZFP64,0.516545941,0.572196367,0.70979501,0.640995689
NDUFB4,-0.217741048,0.873346771,0.404530637,0.638938704
HAUS2,-0.022989844,1.123316048,0.154246199,0.638781124
CARM1,-0.20151803,0.844926462,0.429290422,0.637108442
MYBBP1A,0.07981113,0.734289571,0.538889512,0.636589541
YTHDC1,0.85060438,0.937460742,0.334837698,0.63614922
NFXL1,0.115601012,0.795927275,0.474483541,0.635205408
NOL11,-0.16409678,0.638156646,0.630486637,0.634321642
AIFM1,0.113588622,0.857760341,0.409388962,0.633574651
SLC4A7,-0.447439281,0.526368177,0.74056078,0.633464479
MAPK14,-0.434548874,0.762222379,0.503339742,0.63278106
MCM4,0.415386498,0.603537828,0.661626732,0.63258228
SLC25A28,0.540752415,0.683127238,0.58118536,0.632156299
DYNC1H1,0.301541982,0.691447973,0.571811697,0.631629835
AATF,0.752308782,0.539755811,0.723112834,0.631434323
MYSM1,0.464160733,0.500787742,0.762009141,0.631398442
CXXC11,-0.331447668,0.858442942,0.404305794,0.631374368
DIEXF,0.235677396,0.56374102,0.697190341,0.63046568
PRPF4B,0.070570841,0.318229516,0.939778716,0.629004116
PRIM1,1.306909023,0.60346911,0.654361073,0.628915091
HMGA1,0.391750987,1.076355369,0.179767967,0.628061668
MRPL43,-0.026090514,1.007663424,0.243726669,0.625695046
SF3B2,0.321482195,0.49329201,0.757313222,0.625302616
MRPL37,-0.195962755,0.706607802,0.543706654,0.625157228
PLRG1,0.534748764,0.563023408,0.686732455,0.624877932
POLRMT,0.036783597,1.094211547,0.155506978,0.624859262
ZBED6,-0.011805938,0.758907268,0.490794941,0.624851105
RBMXL1,-0.256812986,0.911327336,0.330625679,0.620976508
TIMM17B,0.330790035,0.70679708,0.534480273,0.620638677
C10orf2,-0.087376701,0.864137482,0.376753494,0.620445488
CASC3,-0.149690403,0.707570838,0.532595667,0.620083252
ERH,-0.269840605,0.757282823,0.477644737,0.61746378
NOL8,0.460560762,0.497108893,0.736281192,0.616695043
MEF2C,0.031474666,0.640351445,0.591390674,0.61587106
C2orf15,-0.220846053,0.677157902,0.551510457,0.61433418
CAD,0.672441519,0.78577326,0.440805907,0.613289583
EXOSC2,-0.110004544,0.744547194,0.478986887,0.61176704
TBL3,0.336912677,1.047499843,0.175705979,0.611602911
OGDH,0.20342655,0.780866433,0.441279854,0.611073143
MRPS16,-0.103132665,0.813239761,0.408367829,0.610803795
PTBP1,0.03830234,0.869700041,0.350519784,0.610109912
CTDSPL2,1.234718792,0.466523176,0.752907973,0.609715574
ATP5F1,-0.066026551,0.482171161,0.732880295,0.607525728
RAD9B,0.075366193,0.766401409,0.4483849,0.607393155
RIOK1,0.102247099,0.565899717,0.644133166,0.605016442
CPOX,0.256611894,0.474133544,0.735438706,0.604786125
COG7,0.216502364,0.508573775,0.700917003,0.604745389
UTP14A,0.517640907,0.422380353,0.7842009,0.603290626
SSBP3,0.15289567,0.764121368,0.441375242,0.602748305
AHCYL1,-0.202516651,0.634942489,0.566999488,0.600970988
THOC2,0.725463318,0.542308834,0.654361073,0.598334953
KIAA1429,-0.337235107,0.66324893,0.527782803,0.595515866
TUBGCP5,0.771714359,0.221335839,0.968956683,0.595146261
GINS1,1.243072141,0.358442942,0.830350319,0.594396631
RBMX,0.453589915,0.747569843,0.440113745,0.593841794
SHFM1,1.058736271,0.836373227,0.35110888,0.593741053
RPF1,0.14915811,0.608055546,0.576413452,0.592234499
CYB5B,0.237091045,0.160184236,1.022667738,0.591425987
MRPS22,-0.130992114,0.573360811,0.608486139,0.590923475
EZH2,0.581127335,0.758907268,0.419477087,0.589192178
BZW2,-0.135591833,0.780442352,0.397220849,0.5888316
MRPL11,0.017913197,0.527044621,0.65055032,0.588797471
THAP4,0.432678406,0.521371454,0.655882582,0.588627018
PSMB5,0.27620875,0.795677501,0.380628545,0.588153023
PPP1R10,-0.21293172,0.676406107,0.499858015,0.588132061
APBB3,-0.224636678,0.115044515,1.060765749,0.587905132
C11orf30,0.416102268,0.352813853,0.821840094,0.587326974
PRPF8,-0.145883176,0.628615805,0.541948331,0.585282068
INTS4,0.463718516,0.786478045,0.38278991,0.584633978
MRPL3,0.185808571,0.892992249,0.2760745,0.584533375
EXOSC3,-0.154351601,0.764216514,0.4036924,0.583954457
YARS2,-0.222537822,0.737539109,0.428481515,0.583010312
PSMB7,0.932089311,0.352668405,0.812545357,0.582606881
TAF1C,-0.055794761,0.674052656,0.49111066,0.582581658
DDX11,0.724004576,0.639618344,0.524772478,0.582195411
GALE,0.198878936,0.819314804,0.345075626,0.582195215
EXOSC5,0.035179134,0.424418409,0.729739235,0.577078822
ARNT,-0.279454694,0.453769714,0.69807566,0.575922687
NDUFA6,-0.039632989,0.735294166,0.414576805,0.574935486
FOXK1,0.486699416,0.64945668,0.499484382,0.574470531
CHMP1A,-0.104614217,1.005536457,0.142797062,0.57416676
HMGN2,0.267678319,0.614793321,0.531080955,0.572937138
SREK1,-0.388117275,0.516193855,0.629455923,0.572824889
ASIC1,0.500191803,0.781860366,0.362627903,0.572244134
ERAL1,-0.319729529,0.675694227,0.468719424,0.572206825
MRPS35,-0.007820582,0.527860106,0.615359143,0.571609625
PMF1,0.007177987,0.928107573,0.20254858,0.565328077
ISCA2,0.136865291,0.638671828,0.485564366,0.562118097
CLPP,-0.072216729,0.440192308,0.683800789,0.561996548
RRP15,0.166540819,0.849725645,0.273747155,0.5617364
NARFL,0.02505932,0.894351195,0.227963535,0.561157365
UQCR10,-0.115941594,0.832758746,0.288110652,0.560434699
RAD51,0.413762369,0.788157426,0.33031265,0.559235038
CEP55,-0.259316125,0.324885844,0.792781175,0.558833509
TXNL4A,0.510507052,0.611004633,0.506411553,0.558708093
YKT6,0.131197756,0.566823946,0.549653662,0.558238804
MMS19,0.188809912,0.688049113,0.425836615,0.556942864
TICRR,1.107236414,0.088578951,1.023921166,0.556250058
PSMD3,0.289774708,0.661815132,0.449766861,0.555790996
BAHD1,0.12040188,0.63354754,0.477099215,0.555323378
RPS28,0.055478312,0.499492275,0.608991823,0.554242049
TRIB1,-0.071731067,0.737107817,0.367763972,0.552435894
CHRNG,-0.157896313,0.574950956,0.529746769,0.552348863
RAB26,-0.22211087,0.655200612,0.449305879,0.552253246
ALDH18A1,-0.129865324,0.505228839,0.59769976,0.551464299
SART1,0.413872022,1.014862502,0.083390679,0.549126591
HIST1H1B,0.080854715,0.818316329,0.278669749,0.548493039
MYC,-0.327940045,0.624246706,0.469823837,0.547035272
RNASEK,0.203466033,0.368222916,0.725311455,0.546767185
MED8,0.070496601,0.728235174,0.363517388,0.545876281
CARF,-0.03212693,0.519686075,0.571220886,0.54545348
TAF1A,0.275185435,0.643103073,0.446390209,0.544746641
WBSCR22,-0.189904936,0.768323998,0.318843709,0.543583853
MRPL17,0.09465108,0.668947621,0.41767033,0.543308975
CEBPZ,0.012622145,0.447817697,0.637290687,0.542554192
MAP7D3,0.61632059,0.752031462,0.332707829,0.542369645
TBP,0.163815893,0.561598289,0.522513658,0.542055974
SNAPC3,-0.0131638,0.683394439,0.399861921,0.54162818
ANAPC1,0.459666718,0.544006842,0.539002177,0.541504509
ARL2,0.596984175,0.74309373,0.337580468,0.540337099
MED11,-0.024357328,0.665034129,0.415343279,0.540188704
SNUPN,0.299347795,0.658091767,0.422113124,0.540102446
GDPD4,0.082230236,0.538528379,0.541421882,0.539975131
PGAP2,0.155022756,0.457093662,0.622090946,0.539592304
DYNC1LI1,0.056397181,0.46886807,0.608491196,0.538679633
SUZ12,-0.038047947,0.578959296,0.497634298,0.538296797
EIF4G2,0.382607418,0.629094534,0.446259469,0.537677002
TRNAU1AP,-0.296029645,0.763855185,0.309607672,0.536731429
MRPS15,0.224199768,0.567593364,0.505465887,0.536529626
