"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT-ND3",1.51643943462474e-44,-1.18525387564973,0.527,0.594,3.59032200541753e-40
"DCAF6",1.51957975443205e-44,-0.526445029887667,0.327,0.494,3.59775702659331e-40
"WDR34",1.97351936583886e-44,0.388401166670795,0.384,0.258,4.67250445056008e-40
"ARG2",2.3365877966486e-44,0.320613058567812,0.329,0.181,5.53210526734522e-40
"MIF",2.47566754029317e-44,-0.537398030219514,0.024,0.15,5.86139046839812e-40
"APOE",3.03348663289548e-44,-0.716925767489724,0.075,0.222,7.18208295204333e-40
"NUF2",5.99760275232424e-44,0.309154342626117,0.492,0.335,1.41999242764029e-39
"NDUFAF3",7.88617631582481e-44,0.332582672837211,0.582,0.435,1.86713110453468e-39
"ATP2B4",1.28169984227608e-43,-0.26878214744152,0.074,0.228,3.03455254657284e-39
"CENPA",1.29923596634491e-43,0.30907623371022,0.369,0.228,3.0760710739182e-39
"ATP5MC1",1.54171847699686e-43,-0.539674772028019,0.122,0.275,3.65017266613776e-39
"JMJD1C",2.23591300978795e-43,-0.639372764191774,0.359,0.517,5.29374764197396e-39
"C22orf34",2.25741173574306e-43,-0.293226333710801,0.039,0.174,5.34464802554528e-39
"FBXW7",2.82692826598696e-43,-0.465023716809331,0.163,0.331,6.69303536255073e-39
"PRDX6",3.40735977479776e-43,0.282535731849514,0.927,0.786,8.06726500281117e-39
"CHD2",3.86868416452891e-43,-0.568406806339683,0.317,0.497,9.15949662793864e-39
"TOP1",4.13765845331036e-43,-0.635707225972707,0.889,0.897,9.79632015405762e-39
"HIST1H2AH",5.63495921506787e-43,0.306784624574545,0.44,0.285,1.33413294375947e-38
"TMEM14C",6.68089945405595e-43,-0.818973987841571,0.512,0.561,1.58176975474229e-38
"CBX3",6.77811195342737e-43,0.347420830446048,0.636,0.461,1.60478578609346e-38
"SNHG29",1.7739925706339e-42,-1.17327440300675,0.35,0.449,4.20010481023282e-38
"FHIT",1.82086745814454e-42,-0.356395724562354,0.042,0.175,4.311085793903e-38
"KDM5D",2.48655144679298e-42,-0.407103679327381,0.077,0.225,5.88715920542705e-38
"NEAT1",3.17729422771424e-42,-0.806598295458099,0.74,0.779,7.52256181353625e-38
"UBR1",3.54947767461079e-42,-0.382985366586196,0.17,0.338,8.40374334240852e-38
"AL359513.1",6.34747498961329e-42,0.267787695162948,0.183,0.081,1.50282817854084e-37
"KCNH2",6.56677150138317e-42,-0.45998012187967,0.104,0.251,1.55474882066748e-37
"ZEB2",6.60988150807576e-42,-0.583167753771839,0.243,0.399,1.56495554585202e-37
"RHBDD1",7.20894552570932e-42,-0.521070623740099,0.21,0.379,1.70678994266694e-37
"BIRC5",8.09053955301571e-42,0.307794791462402,0.577,0.398,1.915516144572e-37
"DPF3",8.36329469472182e-42,-0.456620047193394,0.146,0.311,1.98009365192234e-37
"FCGRT",1.07505630490788e-41,-0.252292790000449,0.055,0.195,2.54530330749989e-37
"KDM5B",1.32607374407235e-41,-0.267761757567678,0.061,0.204,3.13961219646569e-37
