Gene,Non-leukemia,Leukemia,Leukemia/Non-leukemia
METTL21B,-0.238485204,-0.181676539,0.056808664
METTL21C,-0.071727126,-0.106473333,-0.034746207
METTL22,0.085701275,0.10674344,0.021042165
METTL23,-0.44522562,-0.399291375,0.045934245
METTL24,-0.145923591,-0.11092627,0.03499732
METTL25,-0.255025093,-0.159338341,0.095686752
METTL2A,-0.040899402,-0.039215097,0.001684304
METTL2B,-0.230964121,-0.19023919,0.040724931
METTL3,-0.939973007,-0.969371204,-0.029398197
METTL4,0.104581978,0.139826573,0.035244595
METTL5,-0.204598376,-0.219632031,-0.015033655
METTL6,-0.011908745,0.009856182,0.021764927
METTL7A,-0.428167352,-0.349588024,0.078579328
METTL7B,-0.289753568,-0.26453859,0.025214978
METTL9,0.035866683,0.032941198,-0.002925485
MEX3A,-0.506270065,-0.478277521,0.027992544
MEX3B,-0.177755965,-0.186977932,-0.009221968
MEX3C,-0.094205423,-0.138814164,-0.044608741
MEX3D,0.174642807,0.178915571,0.004272765
MFAP1,-1.189443826,-1.171866919,0.017576907
MFAP2,-0.140505679,-0.040400529,0.10010515
MFAP3,0.113001068,0.114790674,0.001789606
MFAP3L,0.208885691,0.140451168,-0.068434523
MFAP4,-0.038370008,-0.013291466,0.025078541
MFAP5,0.030244211,0.054675907,0.024431696
MFF,-0.095191792,-0.010743068,0.084448723
MFGE8,0.025323275,0.001901916,-0.023421359
MFHAS1,0.186488577,0.161292046,-0.025196531
MFI2,-0.071453038,-0.073403492,-0.001950454
MFN1,-0.027250836,0.001972363,0.029223199
MFN2,-0.661994456,-0.57195175,0.090042706
MFNG,-0.053033806,-0.047400225,0.005633581
MFRP,-0.016292327,0.002248496,0.018540823
MFSD1,-0.099815255,-0.101965772,-0.002150517
MFSD10,-0.007331356,-0.013460535,-0.006129178
MFSD11,-0.227138855,-0.163084927,0.064053928
MFSD12,-0.042113982,0.037631694,0.079745676
MFSD2A,-0.089670329,-0.133659473,-0.043989143
MFSD2B,0.13046917,0.1352384,0.00476923
MFSD3,-0.042535508,-0.053911125,-0.011375617
MFSD4,-0.056869879,-0.013450174,0.043419705
MFSD5,0.106554713,0.073393343,-0.03316137
MFSD6,0.042936132,0.085599198,0.042663066
MFSD6L,-0.045469902,-0.02462452,0.020845382
MFSD7,0.226824411,0.233316657,0.006492246
MFSD8,-0.114964312,-0.115656543,-0.000692231
MFSD9,-0.097128075,-0.104320527,-0.007192453
MGA,-0.284371468,-0.197318889,0.087052579
MGAM,0.14749687,0.134262381,-0.013234489
MGARP,-0.161632588,-0.142184351,0.019448237
MGAT1,-0.480870424,-0.571362651,-0.090492227
MGAT2,-0.225999405,-0.273375401,-0.047375996
MGAT3,-0.062410456,-0.066568329,-0.004157873
MGAT4A,-0.163843607,-0.127265788,0.036577819
MGAT4B,-0.008508526,0.006277238,0.014785764
MGAT4C,0.020906793,0.060684141,0.039777348
MGAT4D,0.08947393,0.113817258,0.024343328
MGAT5,-0.105818423,-0.100810238,0.005008185
MGAT5B,0.242511375,0.256218844,0.013707469
MGEA5,-0.317264235,-0.353134758,-0.035870523
MGLL,-0.084524606,-0.041832439,0.042692167
MGME1,0.023973926,0.053336008,0.029362082
MGMT,0.206030436,0.184620872,-0.021409564
MGP,0.018304898,0.014641524,-0.003663373
MGRN1,-0.087429782,-0.079351234,0.008078547
MGST1,0.401399175,0.430644845,0.02924567
MGST2,-0.03120714,-0.039367695,-0.008160555
MGST3,0.054195424,0.055843764,0.00164834
MIA,0.078498628,0.114730714,0.036232086
MIA2,0.000693137,0.042755522,0.042062386
MIA3,0.029554776,0.008873181,-0.020681595
MIB1,-0.232611207,-0.139113828,0.09349738
MIB2,-0.13865988,-0.171359784,-0.032699904
MICA,0.057402125,0.065299502,0.007897377
MICAL1,0.053062052,0.046318235,-0.006743818
MICAL2,0.05505039,0.039271299,-0.015779091
MICAL3,0.000966888,0.031401172,0.030434284
MICALCL,0.06189614,0.05051191,-0.01138423
MICALL1,-0.314380884,-0.317038421,-0.002657537
MICALL2,-0.037888653,-0.039544392,-0.001655739
MICB,-0.297524472,-0.319207061,-0.021682589
MICU1,0.067317814,-0.235334425,-0.302652239
MICU2,0.011710618,0.035098636,0.023388017
MICU3,0.047590683,0.052011116,0.004420433
MIDN,-0.239576707,-0.275950844,-0.036374137
MIEF1,-0.112343188,-0.008165211,0.104177977
MIEF2,-0.185144355,-0.199110033,-0.013965678
