,0,1,bc
284,3.2213488,-2.3344004,E2 w/d 0h
285,0.20390524,-4.86576,E2 w/d 0h
286,-1.6451125,5.3945947,E2 w/d 24h
287,-0.5550309,-3.0279942,E2 w/d 0h
288,0.024155917,-6.286183,E2 w/d 0h
289,3.926325,6.591162,E2 w/d 12h
290,1.4926786,4.5974383,E2 w/d 12h
291,-7.7361937,0.8244043,E2 w/d 48h
292,-0.18804707,-5.2594585,E2 w/d 0h
293,-0.19556177,-5.4561186,E2 w/d 0h
294,3.707904,-4.19639,E2 w/d 0h
295,2.9328706,-5.4622726,E2 w/d 0h
296,2.7241278,3.3213966,E2 w/d 12h
297,4.621801,-3.0876791,E2 w/d 0h
298,0.13317499,-6.7144766,E2 w/d 0h
299,-0.4850774,-4.043694,E2 w/d 0h
300,0.04260599,-4.9834547,E2 w/d 0h
301,1.7236801,-3.2760894,E2 w/d 0h
302,-6.780364,-0.10396173,E2 w/d 48h
303,-4.0917983,1.580964,E2 w/d 48h
304,1.6484619,-1.9716649,E2 w/d 0h
305,-1.2613163,4.35174,E2 w/d 24h
306,-0.09859999,-4.81658,E2 w/d 0h
307,3.2059307,-2.8175278,E2 w/d 0h
308,3.1382916,7.011085,E2 w/d 12h
309,-1.056623,-4.8239503,E2 w/d 0h
310,-1.2971147,-4.8416343,E2 w/d 0h
311,5.9331264,-2.7855482,E2 w/d 0h
312,2.3686967,-0.8325684,E2 w/d 0h
313,-1.8749373,6.094967,E2 w/d 24h
314,-0.16203368,2.6460743,E2 w/d 24h
315,-3.6338966,2.685851,E2 w/d 24h
316,2.7381577,-1.0489519,E2 w/d 0h
317,4.069495,-1.529767,E2 w/d 48h
318,-7.154473,0.96046144,E2 w/d 48h
319,-3.1848872,4.9245863,E2 w/d 24h
320,-5.632869,3.5341377,E2 w/d 48h
321,1.4366696,-0.75193566,E2 w/d 0h
322,0.16585019,-6.871233,E2 w/d 0h
323,-1.1653047,-3.4871879,E2 w/d 0h
324,1.3378788,-3.429797,E2 w/d 0h
325,2.5070221,7.3090334,E2 w/d 12h
326,3.1852143,3.032591,E2 w/d 12h
