"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Tmem255b",-5.07765162627021,0.094592918425488,-10.3954000953386,1.58919446772888e-11,4.91196668249715e-10,14.2358935818981
"Ahdc1",-2.06441598298807,4.54232425981392,-10.3911312475125,1.60488223052473e-11,4.93748483386317e-10,16.1904755958702
"Gns",-1.00218379704832,6.52991434642534,-10.3714261495611,1.67937938203984e-11,5.14230719741114e-10,15.8377883747651
"Scrn1",-5.12858829719438,0.256622081239923,-10.3431372560143,1.79257050662505e-11,5.463132133219e-10,15.204843804949
"RP23-264F2.1",-4.23002542081346,0.705056272411019,-10.3313504416894,1.84201117565569e-11,5.60066301956389e-10,15.0413450073991
"Ptk7",-1.05889218510062,5.8804718912543,-10.3297307028545,1.84891359919258e-11,5.60436429782193e-10,15.7395714021005
"Gm26827",-1.83625844936878,1.64350932414005,-10.2451867458717,2.24856089624771e-11,6.6650835881242e-10,15.9845974918186
"Galnt14",-2.69175663156818,2.27365550807933,-10.1140386150182,3.05163450416023e-11,8.92328170439465e-10,15.7119181926539
"Gcnt4",-3.64274971687312,0.0282002169665173,-10.0833506830407,3.27873243713558e-11,9.54434601599356e-10,15.3234016819322
"Fam198b",-1.87799752385918,2.9621614058801,-10.0654744216964,3.4189241528025e-11,9.93017724291607e-10,15.5142872311047
"Igsf5",-4.23959669207455,0.364869346517804,-9.97236333443039,4.25492286762893e-11,1.21410249649289e-09,14.534425034008
"Acot11",-1.6285538126711,3.90680700577286,-9.8957406986331,5.09844106701183e-11,1.42740004783179e-09,15.0850420906404
"Ptprm",-1.72125992569503,2.92104344567662,-9.77510356311834,6.7885250010991e-11,1.87922004454733e-09,14.7756488402665
"Map9",-1.25794490407683,3.03981753055172,-9.75090503566402,7.19143638286706e-11,1.98230188022852e-09,14.6078006711367
"Cnrip1",-2.11624636470614,1.26615205231572,-9.72215055762535,7.70217711333203e-11,2.09199509335543e-09,14.7900546183674
"Hspg2",-4.7027476846285,1.83261543838157,-9.67633748255014,8.59381453009218e-11,2.31725415557787e-09,14.5225072366695
"Zfp385a",-1.45949544656572,4.69218535250694,-9.67128822826024,8.6983412332897e-11,2.33810691991305e-09,14.4829427553264
"Cdk14",-1.3618629294915,4.18980497881251,-9.60577439726718,1.01787032380418e-10,2.69694090080605e-09,14.2229704107032
"Lhfpl2",-1.0063206129275,5.86508120005967,-9.56565723031338,1.1210097792992e-10,2.93428829932287e-09,13.9431003880049
"Atp2b4",-1.02828546765533,6.22655599744337,-9.55622038550233,1.1467874509746e-10,2.98371572665395e-09,13.812713319457
"Apobr",-1.67784478480193,5.50905364465497,-9.54919323196833,1.16637596093687e-10,3.02861182016868e-09,14.1258129161053
"Tapbpl",-1.33448099323663,4.35228235204468,-9.44250581442258,1.50958928253087e-10,3.86568001086752e-09,13.8935453325649
"Arl4c",-2.18873213802028,3.60973730490866,-9.41064758007627,1.63093030256771e-10,4.15183688592875e-09,14.0648418442421
"Cyp2j6",-1.86835963592629,2.93327404621242,-9.4035596990915,1.65925626826146e-10,4.21567986904865e-09,13.9914614098617
"Lzts2",-3.09705194628956,0.868914603211237,-9.3310509864087,1.97960496936981e-10,4.96162380643403e-09,13.5808967092167
"Ppap2c",-1.11010466992803,3.42030959699695,-9.283511962347,2.223338547002e-10,5.51923601447934e-09,13.5211713722782
"Pvr",-1.21854103217927,4.34102214468013,-9.27511002454267,2.26950627649607e-10,5.62309160071537e-09,13.3732998382636
"6330416G13Rik",-2.21630859802826,3.01378857028218,-9.2185677341573,2.60677745092766e-10,6.40980902374883e-09,13.5777875882117
"C77080",-1.40850637760628,3.91506396622851,-9.21337324873446,2.6402260657651e-10,6.47978355611122e-09,13.4634808028348
"Gpsm1",-1.16398927510568,3.73143831443656,-9.19175419295864,2.78421593314981e-10,6.80743417327382e-09,13.3290981756047
"Dab2ip",-1.00036136350454,5.06888500670611,-9.16803974318712,2.95141760242342e-10,7.20267946095173e-09,12.976115357494
"Spry1",-1.63061220201382,2.13005131657086,-9.15756013854345,3.02854085290344e-10,7.37702549591845e-09,13.3893370557882
"Mmp11",-1.27645138074702,3.48448239057134,-9.15564916814214,3.04282484815992e-10,7.39793913926223e-09,13.2265436510102
"Sorcs2",-3.72765975280931,0.733736328910582,-9.15012906320336,3.0844739915395e-10,7.48518239853407e-09,13.214715572038
"Dmwd",-1.27617880104494,3.12427005630163,-9.14057561259787,3.15793615559893e-10,7.63491342795921e-09,13.135515924913
"Slc7a11",-1.73005366846775,5.72206615597114,-9.12869722224887,3.25177544649997e-10,7.81811122627946e-09,12.7867866800138
"Thsd1",-2.2959962324419,0.985328380433412,-9.12574979991418,3.27549812524376e-10,7.8605900480665e-09,13.3372718009224
"Gpr128",-1.14136916049995,3.64843110021305,-9.10111368791952,3.48083177327123e-10,8.24664943656576e-09,12.8970753508703
"Dntt",-5.64255463849719,0.259268505649126,-9.09351558610544,3.54677705986974e-10,8.38757860988868e-09,12.0398958459009
