_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3,GO:0048709,oligodendrocyte differentiation,M1,1,0
1,-3.8,GO:0055119,relaxation of cardiac muscle,M1,1,0
1,-4.7,GO:1903050,regulation of proteolysis involved in cellular protein catabolic process,M1,1,0
1,-8.1,CORUM:5386,MLL1-WDR5 complex,M1,1,0
1,-4.1,GO:0042791,5S class rRNA transcription by RNA polymerase III,M1,1,0
1,-4.1,CORUM:6444,SMAR1-HDAC1-SIN3A-SIN3B-p107-p130 repressor complex,M1,1,0
1,-2.6,GO:0046649,lymphocyte activation,M1,1,0
1,-2.7,WP2112,IL-17 signaling pathway,M1,1,0
1,-9.1,R-HSA-8953897,Cellular responses to stimuli,M1,1,0
1,-11,GO:0031124,mRNA 3'-end processing,M1,1,0
1,-2,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,M1,1,0
1,-2.4,GO:1903312,negative regulation of mRNA metabolic process,M1,1,0
1,-4.9,R-HSA-4570464,SUMOylation of RNA binding proteins,M1,1,0
1,-7.5,CORUM:2851,ING2 complex,M1,1,0
1,-5.7,hsa04110,Cell cycle,M1,1,0
1,-5.3,CORUM:696,BRMS1-SIN3-HDAC complex,M1,1,0
1,-6.4,CORUM:6851,"MWRAD complex (MLL1, WDR5, RBBP5, ASH2L, DPY30)",M1,1,0
1,-3.7,GO:0034249,negative regulation of cellular amide metabolic process,M1,1,0
1,-2.6,GO:0061458,reproductive system development,M1,1,0
1,-2.3,GO:0002320,lymphoid progenitor cell differentiation,M1,1,0
1,-2.7,R-HSA-2555396,Mitotic Metaphase and Anaphase,M1,1,0
1,-2.4,GO:0008406,gonad development,M1,1,0
1,-4.9,GO:0002262,myeloid cell homeostasis,M1,1,0
1,-12,GO:0034968,histone lysine methylation,M1,1,0
1,-3.2,R-HSA-1640170,Cell Cycle,M1,1,0
1,-2.5,R-HSA-9029569,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,M1,1,0
1,-3.9,GO:0010942,positive regulation of cell death,M1,1,0
1,-2.6,GO:0044773,mitotic DNA damage checkpoint signaling,M1,1,0
1,-3.9,GO:0045342,MHC class II biosynthetic process,M1,1,0
1,-5.9,R-HSA-72202,Transport of Mature Transcript to Cytoplasm,M1,1,0
1,-2.1,WP4925,Unfolded protein response,M1,1,0
1,-4.1,CORUM:3167,NCOR-SIN3-HDAC-HESX1 complex,M1,1,0
1,-2.1,ko05133,Pertussis,M1,1,0
1,-10,CORUM:463,TFIID complex,M1,1,0
1,-4.2,hsa03018,RNA degradation,M1,1,0
1,-6.2,GO:0044843,cell cycle G1/S phase transition,M1,1,0
1,-3.5,ko04260,Cardiac muscle contraction,M1,1,0
1,-3,GO:0042752,regulation of circadian rhythm,M1,1,0
1,-2.6,GO:0031397,negative regulation of protein ubiquitination,M1,1,0
1,-2.8,GO:0043086,negative regulation of catalytic activity,M1,1,0
1,-4.2,R-HSA-8943724,Regulation of PTEN gene transcription,M1,1,0
1,-9.3,GO:0006457,protein folding,M1,1,0
1,-7.9,GO:0044772,mitotic cell cycle phase transition,M1,1,0
1,-4.2,GO:1903364,positive regulation of cellular protein catabolic process,M1,1,0
1,-3.6,GO:0090075,relaxation of muscle,M1,1,0
1,-4.1,GO:2000134,negative regulation of G1/S transition of mitotic cell cycle,M1,1,0
1,-3.5,WP391,Mitochondrial gene expression,M1,1,0
1,-2.9,GO:0018202,peptidyl-histidine modification,M1,1,0
1,-2.2,GO:1903573,negative regulation of response to endoplasmic reticulum stress,M1,1,0
1,-2.6,GO:0035065,regulation of histone acetylation,M1,1,0
1,-2,R-HSA-167160,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection,M1,1,0
1,-2.4,GO:0002253,activation of immune response,M1,1,0
1,-3.5,CORUM:1114,5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex,M1,1,0
1,-5.8,GO:0018279,protein N-linked glycosylation via asparagine,M1,1,0
1,-7.3,GO:0035601,protein deacylation,M1,1,0
1,-9.3,CORUM:6462,MLL1 complex,M1,1,0
1,-4.1,GO:0045347,negative regulation of MHC class II biosynthetic process,M1,1,0
1,-3.5,GO:0033044,regulation of chromosome organization,M1,1,0
1,-2.9,GO:1903513,endoplasmic reticulum to cytosol transport,M1,1,0
1,-12,CORUM:469,TFIID-beta complex,M1,1,0
1,-2.4,GO:1901998,toxin transport,M1,1,0
1,-2.4,GO:0002888,positive regulation of myeloid leukocyte mediated immunity,M1,1,0
1,-6.2,R-HSA-168333,NEP/NS2 Interacts with the Cellular Export Machinery,M1,1,0
1,-6.2,R-HSA-4615885,SUMOylation of DNA replication proteins,M1,1,0
1,-4.4,CORUM:1318,"Transcription initiation factor complex (TAF1, TAF5, TAF11, TAF12, TBP)",M1,1,0
1,-6.1,GO:0010498,proteasomal protein catabolic process,M1,1,0
1,-6.2,GO:0070932,histone H3 deacetylation,M1,1,0
1,-2.9,M40,PID E2F PATHWAY,M1,1,0
1,-2.6,GO:0019058,viral life cycle,M1,1,0
1,-2.9,R-HSA-9694635,Translation of Structural Proteins,M1,1,0
1,-6,R-HSA-168274,Export of Viral Ribonucleoproteins from Nucleus,M1,1,0
1,-6.9,GO:0006511,ubiquitin-dependent protein catabolic process,M1,1,0
1,-6.1,GO:0051052,regulation of DNA metabolic process,M1,1,0
1,-6.8,CORUM:685,MeCP1 complex,M1,1,0
1,-4.6,GO:2000045,regulation of G1/S transition of mitotic cell cycle,M1,1,0
1,-5.5,GO:1900180,regulation of protein localization to nucleus,M1,1,0
1,-2.1,GO:0002831,regulation of response to biotic stimulus,M1,1,0
1,-12,CORUM:1257,ALL-1 supercomplex,M1,1,0
1,-2.3,GO:0006310,DNA recombination,M1,1,0
1,-11,GO:0018022,peptidyl-lysine methylation,M1,1,0
1,-3.2,R-HSA-3371556,Cellular response to heat stress,M1,1,0
1,-3.8,CORUM:54,SIN3 complex,M1,1,0
1,-2.5,R-HSA-167287,HIV elongation arrest and recovery,M1,1,0
1,-5.1,GO:0043038,amino acid activation,M1,1,0
